#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
17.0,"Cerrato, Ben 17Cerrato, Ben",0.0,1.0,0-0,2-0,0,0-0,0,1.0,0,0,0,1,0,0,0,0,3,0.0,2,1,0,0,0,View Bio
3.0,"Nasif, Garrett 3Nasif, Garrett",3.86,1.43,2-0,6-3,0,0-0,1,21.0,27,11,9,3,19,2,0,2,86,0.314,5,4,0,0,2,View Bio
19.0,"Feld, Ian 19Feld, Ian",4.78,1.53,3-1,6-6,0,0-0,0,32.0,32,21,17,17,29,9,0,6,127,0.252,0,6,0,0,1,View Bio
39.0,"Runkel, Jakob 39Runkel, Jakob",4.85,1.31,1-1,7-4,0,0-0,1,26.0,25,18,14,9,46,4,3,4,105,0.238,2,6,0,0,0,View Bio
15.0,"Jungers, Ryan 15Jungers, Ryan",5.74,2.04,0-2,9-1,0,0-0,1,15.2,25,12,10,6,14,6,0,2,70,0.357,2,4,0,1,2,View Bio
37.0,"Shaul, Daniel 37Shaul, Daniel",6.35,1.89,0-0,5-0,0,0-0,1,11.1,10,8,8,11,8,1,1,0,42,0.238,0,1,0,0,1,View Bio
42.0,"Gutta, Jackson 42Gutta, Jackson",7.27,1.4,0-2,5-2,0,0-0,0,17.1,17,15,14,7,22,2,0,3,67,0.254,1,8,0,0,1,View Bio
23.0,"Hull, Jake 23Hull, Jake",8.64,2.02,1-3,7-7,0,0-0,0,33.1,57,35,32,10,14,11,3,6,151,0.377,2,4,1,2,1,View Bio
8.0,"Haaland, Cam 8Haaland, Cam",10.8,2.5,0-0,2-0,0,0-0,0,1.2,2,2,2,1,1,1,0,0,7,0.286,0,0,0,0,0,View Bio
18.0,"Kajita, Kenji 18Kajita, Kenji",11.25,2.38,1-0,5-0,0,0-0,0,8.0,9,16,10,10,10,3,0,0,34,0.265,3,3,0,2,0,View Bio
40.0,"Nakamoto, Matthew 40Nakamoto, Matthew",11.45,2.45,0-1,7-0,0,0-0,0,11.0,15,17,14,12,12,4,0,2,47,0.319,0,3,0,0,0,View Bio
24.0,"Borberg, Evan 24Borberg, Evan",11.57,3.81,1-0,1-0,0,0-0,0,2.1,7,3,3,1,2,2,0,1,14,0.5,0,1,0,0,0,View Bio
38.0,"Griffin, Ajay 38Griffin, Ajay",11.7,2.8,0-3,6-0,0,0-0,0,10.0,20,16,13,8,7,4,0,0,48,0.417,0,1,1,4,0,View Bio
47.0,"Plishker, Campbell 47Plishker, Campbell",13.5,2.5,0-1,4-0,0,0-0,0,4.0,8,6,6,2,2,1,1,1,20,0.4,1,1,0,0,1,View Bio
6.0,"Natori, Neill 6Natori, Neill",15.43,2.86,0-0,2-0,0,0-0,0,2.1,6,4,4,0,1,1,1,1,14,0.429,1,0,0,0,0,View Bio
2.0,"Cash, Stuart 2Cash, Stuart",18.0,4.0,0-0,1-0,0,0-0,0,1.0,4,3,2,0,0,1,0,1,8,0.5,1,0,0,0,0,View Bio
36.0,"Ros, Augie 36Ros, Augie",54.0,30.0,0-0,1-0,0,0-0,0,0.1,2,2,2,1,0,1,0,0,3,0.667,1,0,0,0,0,View Bio
,Totals,7.08,1.84,9-14,76-23,0,0,4,198.1,266,189,156,99,187,53,9,29,846,0.314,21,43,2,9,9,
,Opponents,5.99,1.8,14-9,83-23,1,1,6,201.1,273,173,134,89,163,43,5,18,858,0.318,24,46,5,11,6,
