#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
80.0,"Taylor, David 80 Taylor, David",10,31,525,16.94,4,59,52.5,View Bio
88.0,"Henderson, Erik 88 Henderson, Erik",10,35,447,12.77,1,75,44.7,View Bio
17.0,"Dunn, Carson 17 Dunn, Carson",10,28,262,9.36,1,40,26.2,View Bio
2.0,"McGriff, Zach 2 McGriff, Zach",6,11,105,9.55,2,29,17.5,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",8,9,65,7.22,0,26,8.13,View Bio
9.0,"O'Shea, Michael 9 O'Shea, Michael",5,2,20,10.0,0,14,4.0,View Bio
13.0,"Scott, Chip 13 Scott, Chip",8,2,-2,-1.0,0,2,-0.25,View Bio
,Total,10,118,1422,12.05,8,75,142.2,
,Opponents,10,168,2922,17.39,34,77,292.2,
