Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/31/2012,vs Coe College,5-1,5,0,10,17,0.294,11,0.647,1-0,1,1-1,1080
9/2/2012,vs Central College,2-2,2,1,5,10,0.2,3,0.3,3-0,0,0-0,1201
9/5/2012,vs Simpson College,0-2,0,0,0,6,0.0,3,0.5,0-0,0,0-0,946
9/9/2012,at UWP,1-2,1,1,3,4,0.25,3,0.75,0-0,0,0-0,992
9/15/2012,at Lake Forest,0-1,0,0,0,12,0.0,6,0.5,0-0,0,0-0,1010
9/16/2012,at Carroll University,0-2,0,0,0,5,0.0,4,0.8,1-0,0,0-0,976
9/22/2012,vs Illinois College,2-1,2,1,5,15,0.133,5,0.333,0-0,1,1-1,990
9/23/2012,at Buena Vista Univ.,2-0,2,1,5,13,0.154,5,0.385,0-0,1,1-1,1056
9/26/2012,vs Univ. of Dubuque,0-4,0,0,0,6,0.0,4,0.667,0-0,0,0-0,1026
9/29/2012,vs Knox College,4-1,4,1,9,17,0.235,8,0.471,1-0,1,0-1,1045
9/30/2012,vs Cornell College,4-0,4,5,13,22,0.182,6,0.273,0-0,1,0-0,1050
10/6/2012,at Beloit College,1-2,1,0,2,10,0.1,6,0.6,0-0,0,0-0,0
10/16/2012,vs St. Mary's Univ.,3-1,3,2,8,12,0.25,6,0.5,0-0,1,0-2,992
10/20/2012,vs Lawrence University,1-0,1,1,3,15,0.067,9,0.6,2-0,1,0-0,961
10/21/2012,vs St. Norbert College,0-1,0,0,0,15,0.0,9,0.6,0-0,0,0-0,1014
10/27/2012,at Monmouth College,5-1,5,6,16,16,0.313,14,0.875,0-0,1,0-0,0
10/28/2012,vs Ripon College,2-1,2,2,6,16,0.125,11,0.688,0-0,1,0-0,966
11/2/2012,at Lake Forest,0-1,0,0,0,7,0.0,5,0.714,2-0,0,0-0,990
Total,,32-23,32,21,85,218,0.147,118,0.541,10-0,9,3-6,16295
Opponent,,-,23,12,58,197,0.117,108,0.548,22-0,8,-,16480
