#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
13,"Hirsh, Alissa 13 Hirsh, Alissa",18,18.0,681,37.8,130,273,0.476,15,32,0.469,67,101,0.663,342,19.0,11,84,95,5.3,34,80,4.4,67,51,5,View Bio
42,"Morrissey, Kayla 42 Morrissey, Kayla",18,18.0,527,29.3,86,194,0.443,12,41,0.293,29,44,0.659,213,11.8,26,69,95,5.3,29,33,1.8,39,9,10,View Bio
10,"Gatton, Sophia 10 Gatton, Sophia",18,18.0,513,28.5,55,167,0.329,21,79,0.266,14,27,0.519,145,8.1,13,16,29,1.6,34,34,1.9,37,15,3,View Bio
11,"Neckopulos, Alex 11 Neckopulos, Alex",18,17.0,484,26.9,40,103,0.388,0,0,0.0,26,42,0.619,106,5.9,77,134,211,11.7,45,12,0.7,33,15,7,View Bio
23,"Boldt, Anne 23 Boldt, Anne",14,0.0,252,18.0,25,89,0.281,8,40,0.2,15,24,0.625,73,5.2,8,25,33,2.4,30,8,0.6,29,11,4,View Bio
22,"Greenberg, Leah 22 Greenberg, Leah",18,0.0,187,10.4,36,91,0.396,32,83,0.386,3,4,0.75,107,5.9,2,15,17,0.9,20,5,0.3,17,4,0,View Bio
20,"Stariha, Lydia 20 Stariha, Lydia",18,18.0,410,22.8,31,92,0.337,5,34,0.147,12,31,0.387,79,4.4,19,31,50,2.8,34,22,1.2,26,3,0,View Bio
21,"Norton, Kaitlyn 21 Norton, Kaitlyn",18,0.0,155,8.6,17,47,0.362,8,23,0.348,3,5,0.6,45,2.5,6,15,21,1.2,15,4,0.2,15,7,5,View Bio
24,"Plemmons, Alex 24 Plemmons, Alex",15,1.0,142,9.5,10,22,0.455,0,0,0.0,8,10,0.8,28,1.9,17,22,39,2.6,22,5,0.3,5,7,5,View Bio
15,"Keller, Ariel 15 Keller, Ariel",18,0.0,144,8.0,5,11,0.455,1,3,0.333,4,7,0.571,15,0.8,7,24,31,1.7,36,6,0.3,9,4,2,View Bio
12,"Lopez, Haley 12 Lopez, Haley",17,0.0,137,8.1,4,20,0.2,0,5,0.0,2,4,0.5,10,0.6,5,16,21,1.2,11,3,0.2,7,2,1,View Bio
14,"El Mahassni, Haley 14 El Mahassni, Haley",1,0.0,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,View Bio
32,"Matosky, Jordan 32 Matosky, Jordan",4,0.0,12,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,4,4,1.0,2,0,0.0,1,0,0,View Bio
44,"Schellinger, Jordan 44 Schellinger, Jordan",2,0.0,4,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,2,0,2,1.0,1,0,0.0,1,0,0,View Bio
TM,Team  TM Team,15,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,30,46,76,5.1,0,0,0.0,3,0,0,
,Total,18,,3650,202.8,439,1109,0.396,102,340,0.3,183,299,0.612,1163,64.61,223,501,724,40.2,313,212,11.8,289,128,42,
,Opponents,18,,3650,202.8,441,1145,0.385,90,315,0.286,248,351,0.707,1220,67.78,255,505,760,42.2,295,260,14.4,264,139,64,
