Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2017,vs Simpson College,2-0,2/0,0/0,19/5,8/3,5/1,0/0,0/0
9/2/2017,at Coe College,0-2,0/2,0/0,3/14,0/4,1/4,0/0,0/0
9/6/2017,vs Central College,0-4,0/4,0/1,9/21,5/14,1/6,1/1,0/0
9/9/2017,at Crown,6-0,6/0,4/0,45/3,27/2,17/0,0/0,0/0
9/10/2017,vs Wisconsin-Oshkosh,0-1,0/1,0/0,9/9,3/7,1/2,1/1,0/0
9/17/2017,at Edgewood College,0-1,0/1,0/1,16/4,8/2,3/2,0/0,0/0
9/23/2017,vs Beloit,5-3,5/3,4/0,29/7,18/7,6/1,0/0,1/0
9/24/2017,vs Lake Forest,2-1,2/1,2/1,10/15,4/9,2/5,0/0,0/0
9/27/2017,vs Buena Vista,3-1,3/1,3/1,43/9,19/8,4/1,0/0,0/0
9/30/2017,at Illinois College,7-3,7/3,6/3,31/6,20/6,5/1,0/0,0/0
10/7/2017,at Knox,1-2,1/2,1/2,7/17,2/8,1/7,0/0,0/0
10/14/2017,at St. Norbert College,1-4,1/4,1/3,15/13,0/0,3/2,0/0,0/0
10/15/2017,at Lawrence University,4-0,4/0,5/0,38/4,21/3,10/0,0/0,0/0
10/19/2017,at Nebraska Wesleyan,2-1,2/1,0/2,9/7,4/4,3/10,1/0,0/0
10/21/2017,vs Ripon,1-0,1/0,1/0,16/9,10/6,3/3,0/0,0/0
10/25/2017,vs Cornell College,2-3,2/3,2/2,27/5,18/4,5/2,1/0,0/0
10/28/2017,vs Monmouth (IL),1-0,1/0,2/0,10/10,5/4,4/2,0/0,0/0
11/3/2017,at Knox,0-1,0/1,0/1,4/17,0/0,2/8,0/2,0/0
Totals,,,37/27,31/17,340/175,172/91,76/57,4/4,1/0
