#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
88.0,"Chu, Samantha 88Chu, Samantha",0.542,1.428,16-16,48,11,26,8,2,1,19,41,0.854,5,0,2,0,0.574,1,0,0-0,View Bio
10.0,"Ramirez, Amanda 10Ramirez, Amanda",0.48,1.182,16-16,50,21,24,4,2,0,16,32,0.64,6,2,1,0,0.542,1,0,0-1,View Bio
23.0,"Durak, Taylor 23Durak, Taylor",0.45,1.283,15-15,40,16,18,5,0,2,21,29,0.725,11,0,3,0,0.558,1,0,0-0,View Bio
26.0,"Anson, Kambria 26Anson, Kambria",0.408,0.871,14-14,49,15,20,1,0,0,9,21,0.429,3,0,4,0,0.442,0,0,7-8,View Bio
12.0,"Nelson, Emma 12Nelson, Emma",0.4,0.864,9-9,25,5,10,0,0,0,5,10,0.4,2,1,4,0,0.464,0,1,2-3,View Bio
17.0,"Oda, Jasmine 17Oda, Jasmine",0.348,0.891,9-8,23,6,8,1,0,0,7,9,0.391,6,1,9,0,0.5,0,0,0-0,View Bio
2.0,"Okada, Alexa 2Okada, Alexa",0.333,0.822,15-14,33,11,11,0,0,0,5,11,0.333,7,4,3,0,0.489,1,0,2-3,View Bio
3.0,"DiGiacomo-Zahller, Emma 3DiGiacomo-Zahller, Emma",0.326,0.757,13-13,43,14,14,3,0,0,7,17,0.395,3,0,6,0,0.362,1,0,0-0,View Bio
4.0,"Dykstra, Hannah 4Dykstra, Hannah",0.32,0.859,9-8,25,9,8,2,1,0,8,12,0.48,2,1,4,0,0.379,1,0,3-3,View Bio
13.0,"Killion, Kyra 13Killion, Kyra",0.3,0.79,8-8,20,3,6,1,0,0,2,7,0.35,4,1,2,0,0.44,0,0,0-0,View Bio
18.0,"DiCarlo, Sofia 18DiCarlo, Sofia",0.3,0.9,9-2,10,5,3,2,0,0,3,5,0.5,3,0,0,0,0.4,2,0,0-0,View Bio
5.0,"Vermeulen, Lizzy 5Vermeulen, Lizzy",0.273,0.816,8-8,22,6,6,0,0,1,5,9,0.409,3,2,7,0,0.407,0,0,1-1,View Bio
22.0,"Webb, Mary 22Webb, Mary",0.227,0.619,8-8,22,3,5,1,0,0,2,6,0.273,4,0,7,0,0.346,0,0,0-0,View Bio
11.0,"Vermeulen, Kathryn 11Vermeulen, Kathryn",0.214,0.746,10-8,14,2,3,0,1,0,2,5,0.357,4,0,4,0,0.389,0,1,1-1,View Bio
20.0,"Becker, Anne 20Becker, Anne",0.2,0.4,5-0,5,0,1,0,0,0,0,1,0.2,0,0,2,0,0.2,0,0,0-0,View Bio
1.0,"Nesbeth, Bella 1Nesbeth, Bella",0.0,0.0,2-0,2,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
,Totals,0.378,0.962,16-16,431,127,163,28,6,4,111,215,0.499,63,12,59,0,0.463,8,2,16-20,
,Opponents,0.269,0.661,16-16,364,26,98,16,0,4,25,126,0.346,20,5,58,5,0.315,1,8,2-5,
