Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
9/01/2017,vs Wis.-La Crosse,W,4,54,23,165,0.188,46,8,6,8,86,14,0,1,14.0,1,76.0
9/02/2017,vs Northland,L,3,14,19,109,-0.046,14,1,1,6,70,0,4,0,2.0,6,17.0
9/02/2017,vs Wis.-Whitewater,W,3,46,18,100,0.28,37,10,10,6,51,0,14,3,7.0,2,63.0
9/08/2017,vs Crown,L,5,35,24,135,0.081,33,8,0,11,68,0,4,1,2.0,0,45.0
9/08/2017,North Central (MN),L,3,22,20,95,0.021,21,4,6,8,41,0,4,3,2.0,0,28.0
9/09/2017,vs Faith Baptist,L,3,11,13,63,-0.032,11,4,8,11,27,0,4,2,2.0,0,17.0
9/12/2017,Buena Vista Univ.,W,4,58,22,156,0.231,54,7,5,5,83,1,6,5,4.0,4,69.0
9/15/2017,vs Robert Morris,L,3,5,11,44,-0.136,5,3,1,18,17,3,1,0,3.5,0,11.5
9/15/2017,vs Principia,L,3,33,14,154,0.123,30,8,2,6,110,1,2,0,2.0,0,43.0
9/16/2017,vs Lincoln Christian,L,3,42,25,141,0.121,34,7,3,5,81,4,0,11,4.0,0,53.0
9/23/2017,vs Grace Bible,L,3,21,18,107,0.028,18,4,5,4,53,3,8,0,7.0,0,32.0
9/23/2017,Emmaus,L,3,30,19,109,0.101,27,4,3,8,49,1,10,0,6.0,0,40.0
9/27/2017,at Cornell College,W,3,51,15,140,0.257,47,3,8,2,75,3,4,0,5.0,2,59.0
9/30/2017,Ripon College,W,5,56,27,212,0.137,53,13,11,7,95,4,6,0,7.0,7,76.0
10/03/2017,at Knox College,L,3,21,14,119,0.059,19,5,2,11,63,5,8,2,9.0,0,35.0
10/06/2017,at Beloit College,W,5,48,23,182,0.137,45,7,9,13,96,9,6,1,12.0,1,67.0
10/07/2017,at Lake Forest College,L,3,28,22,102,0.059,28,6,10,11,41,4,0,0,4.0,2,38.0
10/10/2017,at Univ. of Dubuque,W,3,46,13,110,0.3,44,8,7,3,67,0,2,1,1.0,5,55.0
10/12/2017,Faith Bapt. Bible,L,3,21,11,87,0.115,20,3,3,9,33,1,4,1,3.0,2,27.0
10/14/2017,Illinois College,L,5,65,24,191,0.215,64,6,5,6,94,1,12,2,7.0,4,78.0
10/20/2017,Lawrence University,L,4,48,19,127,0.228,42,8,7,12,59,5,12,0,11.0,0,67.0
10/21/2017,St. Norbert College,W,4,61,18,141,0.305,59,6,4,4,67,4,14,0,11.0,1,78.0
10/28/2017,Monmouth College,L,4,38,26,161,0.075,36,11,6,8,80,1,12,0,7.0,0,56.0
11/03/2017,Cornell College,W,5,62,25,171,0.216,57,9,20,4,79,2,10,2,7.0,1,78.0
,Opponents,,87,916,463,3121,0.145,844,153,142,186,1585,66,147,35,139.5,38,1208.5
,Grinnell College,,87,1011,404,3142,0.193,942,189,199,151,1521,58,125,8,120.5,21,1320.5
