School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
St. Norbert College,5-0,1.000,6-3,.667,L1,3-0,3-3,0-0
Lake Forest,4-1,.800,7-3,.700,L2,3-1,4-2,0-0
Ripon,3-2,.600,4-6,.400,L1,1-3,3-3,0-0
Macalester College,2-3,.400,4-6,.400,L1,1-4,3-2,0-0
Beloit,1-4,.200,1-9,.100,L5,1-4,0-5,0-0
Lawrence,0-5,.000,1-8,.111,L8,0-5,1-3,0-0
Monmouth (IL),4-0,1.000,7-2,.778,W7,4-1,3-1,0-0
University of Chicago,3-1,.750,6-3,.667,W2,3-2,3-1,0-0
Illinois Col.,2-2,.500,6-3,.667,W1,5-1,1-2,0-0
Cornell College,1-3,.250,4-5,.444,W2,3-2,1-3,0-0
Knox,0-4,.000,3-6,.333,W1,3-1,0-5,0-0
Grinnell,0-0,.000,0-3,.000,L3,0-2,0-1,0-0
