School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Knox*,8-1,15-4-2,24,.889,.762,L1,4-0,9-3-2,2-1
Lake Forest*,8-1,10-8-1,24,.889,.553,L1,5-2-1,5-5,0-1
St. Norbert College*,7-1-1,16-5-3,22,.833,.729,L1,8-0-2,5-5-1,3-0
Monmouth (IL)*,4-3-2,9-7-2,14,.556,.556,L1,4-4-1,5-2-1,0-1
Lawrence,4-5,8-8-1,12,.444,.500,L4,6-2,2-6-1,0-0
Cornell College,3-4-2,5-10-3,11,.444,.361,L2,4-4,1-6-3,0-0
Grinnell,3-5-1,7-9-1,10,.389,.441,W2,4-2-1,3-7,0-0
Beloit,3-6,5-11-2,9,.333,.333,L1,3-4-1,2-7-1,0-0
Illinois Col.,2-7,6-12-2,6,.222,.350,L2,4-8-1,2-4-1,0-0
Ripon,0-9,1-16-1,0,.000,.083,L6,1-9,0-7-1,0-0
